Site,Date,Regime,Month,chla_ug_cm2,chla_ug_m2
Shirasawa_SM,02/07/2017,Snowmelt,July,0,0
Shirasawa_SM,02/07/2017,Snowmelt,July,0,0
Shirasawa_SM,02/07/2017,Snowmelt,July,0.038848921,388.4892086
Shirasawa_SM,10/08/2017,Snowmelt,August,0,0
Shirasawa_SM,10/08/2017,Snowmelt,August,0,0
Shirasawa_SM,10/08/2017,Snowmelt,August,0.008633094,86.33093525
Shirasawa_SM,25/08/2017,Snowmelt,August,0.004316547,43.16546763
Shirasawa_SM,25/08/2017,Snowmelt,August,0.004316547,43.16546763
Shirasawa_SM,25/08/2017,Snowmelt,August,0.004316547,43.16546763
Shirasawa_SM,18/10/2017,Snowmelt,October,0.004316547,43.16546763
Shirasawa_SM,18/10/2017,Snowmelt,October,0.004316547,43.16546763
Shirasawa_SM,18/10/2017,Snowmelt,October,0.004316547,43.16546763
Dakesawa_SM,02/07/2017,Snowmelt,July,0,0
Dakesawa_SM,02/07/2017,Snowmelt,July,0.034532374,345.323741
Dakesawa_SM,02/07/2017,Snowmelt,July,0.021582734,215.8273381
Dakesawa_SM,10/08/2017,Snowmelt,August,0.194244604,1942.446043
Dakesawa_SM,10/08/2017,Snowmelt,August,0.155395683,1553.956835
Dakesawa_SM,10/08/2017,Snowmelt,August,0.174820144,1748.201439
Dakesawa_SM,18/10/2017,Snowmelt,October,0.397122302,3971.223022
Dakesawa_SM,18/10/2017,Snowmelt,October,1.610071942,16100.71942
Dakesawa_SM,18/10/2017,Snowmelt,October,0.44028777,4402.877698
Tokusawa_SM,16/07/2017,Snowmelt,July,0.004316547,43.16546763
Tokusawa_SM,16/07/2017,Snowmelt,July,0.004316547,43.16546763
Tokusawa_SM,10/08/2017,Snowmelt,August,0.025899281,258.9928058
Tokusawa_SM,10/08/2017,Snowmelt,August,0.01294964,129.4964029
Tokusawa_SM,10/08/2017,Snowmelt,August,0.004316547,43.16546763
Tokusawa_SM,18/10/2017,Snowmelt,October,0.185611511,1856.115108
Tokusawa_SM,18/10/2017,Snowmelt,October,0.164028777,1640.28777
Tokusawa_SM,18/10/2017,Snowmelt,October,0.099280576,992.8057554
Azusa_GW2,16/07/2017,Groundwater,July,0.15971223,1597.122302
Azusa_GW2,16/07/2017,Groundwater,July,0.051798561,517.9856115
Azusa_GW2,16/07/2017,Groundwater,July,0.129496403,1294.964029
Azusa_GW2,25/08/2017,Groundwater,August,0.267625899,2676.258993
Azusa_GW2,25/08/2017,Groundwater,August,0.064748201,647.4820144
Azusa_GW2,25/08/2017,Groundwater,August,0.125179856,1251.798561
Azusa_GW2,18/10/2017,Groundwater,October,0.405755396,4057.553957
Azusa_GW2,18/10/2017,Groundwater,October,0.302158273,3021.582734
Azusa_GW2,18/10/2017,Groundwater,October,0.323741007,3237.410072
Tokusawa_GW,16/07/2017,Groundwater,July,4.079136691,40791.36691
Tokusawa_GW,16/07/2017,Groundwater,July,6.215827338,62158.27338
Tokusawa_GW,16/07/2017,Groundwater,July,1.825899281,18258.99281
Tokusawa_GW,25/08/2017,Groundwater,August,0.051798561,517.9856115
Tokusawa_GW,25/08/2017,Groundwater,August,0.107913669,1079.136691
Tokusawa_GW,25/08/2017,Groundwater,August,2.09352518,20935.2518
Tokusawa_GW,18/10/2017,Groundwater,October,4.433093525,44330.93525
Tokusawa_GW,18/10/2017,Groundwater,October,0.457553957,4575.539568
Tokusawa_GW,18/10/2017,Groundwater,October,0.889208633,8892.086331
Azusa_GW1,02/07/2017,Groundwater,July,0.44676259,4467.625899
Azusa_GW1,02/07/2017,Groundwater,July,1.010071942,10100.71942
Azusa_GW1,02/07/2017,Groundwater,July,0.660431655,6604.316547
Azusa_GW1,10/08/2017,Groundwater,August,0.060431655,604.3165468
Azusa_GW1,10/08/2017,Groundwater,August,0.31942446,3194.244604
Azusa_GW1,10/08/2017,Groundwater,August,0.142446043,1424.460432
Azusa_GW1,18/10/2017,Groundwater,October,0.086330935,863.3093525
Azusa_GW1,18/10/2017,Groundwater,October,0.15971223,1597.122302
Azusa_GW1,18/10/2017,Groundwater,October,0.047482014,474.8201439
