Site,Date,Replicate,silica_mgsio2_ml,silica_umol_L
Azusa GW1,19/05/2017,1,8.0,134
Azusa GW1,19/05/2017,2,7.6,126
Azusa GW1,19/05/2017,3,8.3,137
Azusa GW1,25/08/2017,1,7.0,117
Azusa GW1,25/08/2017,2,8.2,136
Azusa GW1,25/08/2017,3,8.5,141
Azusa GW2,17/05/2017,1,5.2,86
Azusa GW2,17/05/2017,2,4.8,80
Azusa GW2,17/05/2017,3,8.0,134
Azusa GW2,25/08/2017,2,4.9,82
Azusa GW2,25/08/2017,1,6.0,101
Azusa GW2,25/08/2017,3,6.6,110
Dakesawa SM,10/08/2017,1,7.6,126
Dakesawa SM,10/08/2017,2,8.0,134
Dakesawa SM,10/08/2017,3,8.6,143
Shirasawa SM,19/05/2017,1,5.4,90
Shirasawa SM,19/05/2017,2,4.6,77
Shirasawa SM,10/08/2017,1,6.7,112
Shirasawa SM,10/08/2017,2,4.5,75
Shirasawa SM,10/08/2017,3,5.9,99
Shirasawa SM,25/08/2017,1,4.6,77
Shirasawa SM,25/08/2017,2,3.3,55
Shirasawa SM,25/08/2017,3,3.7,62
Tokusawa GW,24/05/2017,1,6.3,104
Tokusawa GW,24/05/2017,2,5.9,99
Tokusawa GW,25/08/2017,1,5.9,99
Tokusawa GW,25/08/2017,2,7.7,128
Tokusawa GW,25/08/2017,3,5.4,90
Tokusawa SM,24/05/2017,1,5.6,93
Tokusawa SM,24/05/2017,2,5.3,88
Tokusawa SM,10/08/2017,1,5.7,95
Tokusawa SM,10/08/2017,2,6.5,108
Tokusawa SM,10/08/2017,3,5.2,86
